"Date","Price","Open","High","Low","Change %"
"Jan 04, 2010","30.3100","30.3135","30.3140","30.3130","-0.00"
"Jan 05, 2010","29.9235","30.1188","30.1208","29.9080","-1.28"
"Jan 06, 2010","29.8635","29.9270","29.9285","29.8588","-0.20"
"Jan 07, 2010","29.8640","29.8673","29.8675","29.8675","0.00"
"Jan 08, 2010","29.8640","29.8675","29.8675","29.8675","0.00"
"Jan 11, 2010","29.3210","29.8675","29.8800","29.2765","-1.82"
"Jan 12, 2010","29.5160","29.3220","29.5953","29.3156","0.67"
"Jan 13, 2010","29.5500","29.5303","29.6850","29.4950","0.12"
"Jan 14, 2010","29.4400","29.5615","29.5858","29.3537","-0.37"
"Jan 15, 2010","29.5500","29.4550","29.6063","29.4450","0.37"
"Jan 18, 2010","29.5980","29.5700","29.6658","29.5443","0.16"
"Jan 19, 2010","29.5930","29.6055","29.7423","29.4906","-0.02"
"Jan 20, 2010","29.7627","29.5995","29.7810","29.5998","0.57"
"Jan 21, 2010","29.7575","29.7618","29.8710","29.6817","-0.02"
"Jan 22, 2010","29.8615","29.7635","29.8995","29.6934","0.35"
"Jan 25, 2010","30.1111","29.9483","30.1772","29.9547","0.84"
"Jan 26, 2010","30.3472","30.1136","30.4452","30.0822","0.78"
"Jan 27, 2010","30.3265","30.3411","30.3713","30.2296","-0.07"
"Jan 28, 2010","30.3655","30.3272","30.4180","30.2518","0.13"
"Jan 29, 2010","30.3678","30.3583","30.4888","30.2543","0.01"
"Feb 01, 2010","30.2925","30.3744","30.4570","30.2938","-0.25"
"Feb 02, 2010","30.0700","30.2968","30.3363","30.0650","-0.73"
"Feb 03, 2010","29.9915","30.0650","30.0850","29.8187","-0.26"
"Feb 04, 2010","30.1725","29.9953","30.1963","29.9591","0.60"
"Feb 05, 2010","30.3575","30.1778","30.5537","30.1753","0.61"
"Feb 08, 2010","30.5295","30.3610","30.5785","30.3610","0.57"
"Feb 09, 2010","30.3900","30.5333","30.5410","30.3138","-0.46"
"Feb 10, 2010","30.2610","30.3885","30.4070","30.1933","-0.42"
"Feb 11, 2010","30.1730","30.2673","30.2863","30.1040","-0.29"
"Feb 12, 2010","30.2055","30.1738","30.4046","30.1210","0.11"
"Feb 15, 2010","30.2284","30.2350","30.2850","30.1898","0.08"
"Feb 16, 2010","30.0043","30.2323","30.2416","29.9923","-0.74"
"Feb 17, 2010","30.1214","30.0064","30.1430","29.9310","0.39"
